證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2882B","國泰金乙特","149000","8777600","59.00","59.10","58.80","59.10","0.0000","36"
"2883","開發金","30101000","457203100","15.25","15.30","15.15","15.15","-0.1000","6254"
"2883B","開發金乙特","3957000","30060500","7.60","7.62","7.58","7.59","0.0600","397"
"2884","玉山金","12533000","360117200","28.75","28.80","28.65","28.70","-0.0500","4180"
"2885","元大金","12083000","390355200","32.00","32.45","31.95","32.30","0.3000","5751"
"2886","兆豐金","7784000","309630000","39.60","39.90","39.60","39.80","0.2500","3647"
"2887","台新金","10241000","191842500","18.75","18.80","18.65","18.70","-0.0500","3010"
"2887E","台新戊特","227000","11924600","52.70","52.70","52.50","52.60","-0.2000","26"
"2887F","台新戊特二","39000","1855150","47.35","47.65","47.35","47.65","0.3000","23"
"2887Z1","台新己特","13000","217450","16.70","16.85","16.70","16.85","0.1500","8"
"2888","新光金","78938000","742438640","9.43","9.50","9.35","9.42","-0.0100","11341"
"2888A","新光金甲特","57000","1703100","29.85","29.95","29.80","29.85","0.0000","21"
"2888B","新光金乙特","112000","3355700","29.90","30.00","29.90","29.95","0.0500","36"
"2889","國票金","9174000","142162050","15.35","15.60","15.30","15.50","0.1500","1896"
"2890","永豐金","7137000","171512250","24.10","24.10","23.85","24.05","-0.0500","2028"
"2891","中信金","31698000","1186426900","37.25","37.70","37.15","37.25","-0.0500","9080"
"2891B","中信金乙特","9000","540900","60.10","60.20","60.00","60.10","-0.1000","9"
"2891C","中信金丙特","3000","175400","58.30","58.80","58.30","58.80","0.0000","3"
"2892","第一金","9784000","274023600","27.90","28.05","27.90","27.95","0.0000","2835"
"2897","王道銀行","9051000","94111350","10.45","10.45","10.35","10.40","-0.0500","1532"
"2897A","王道銀甲特","3909000","40768900","10.50","10.55","10.35","10.45","-0.0500","303"
"2901","欣欣","31000","838950","27.10","27.25","27.00","27.05","0.0500","17"
"2903","遠百","1459000","46619800","32.15","32.20","31.80","31.90","-0.1500","755"
"2904","匯僑","71000","1369700","19.45","19.45","19.20","19.35","0.1000","36"
"2905","三商","877000","14329350","16.30","16.45","16.20","16.30","-0.0500","357"
"2906","高林","528000","11001050","20.95","21.10","20.75","20.75","-0.2000","246"
"2908","特力","269000","5622800","20.95","21.00","20.75","20.75","-0.1000","76"
"2910","統領","13000","352550","27.30","27.30","26.75","27.05","0.2000","12"
"2911","麗嬰房","84000","583600","6.96","6.96","6.93","6.93","-0.0300","65"
"2912","統一超","304000","82584500","272.50","273.00","271.00","271.50","-1.0000","222"
"2913","農林","3657000","80825600","22.20","22.40","21.90","21.95","0.0500","1632"
"2915","潤泰全","3838000","259620000","68.20","68.60","67.40","67.50","-0.8000","1767"
"2923","鼎固-KY","29000","802600","27.50","28.00","27.40","28.00","-0.8000","26"
"2929","淘帝-KY","487000","4607100","9.32","9.58","9.31","9.56","0.2700","185"
"2939","凱羿-KY","292000","7117600","24.75","25.00","23.85","24.50","-0.3000","165"
"2945","三商家購","10000","441350","44.00","44.25","44.00","44.20","-0.0500","9"
"3002","歐格","121000","1875100","15.45","15.60","15.40","15.55","0.1500","65"
"3003","健和興","297000","23310200","78.40","79.20","78.10","78.50","-0.1000","183"
"3004","豐達科","317000","32562000","103.00","105.00","101.00","104.00","1.5000","223"
"3005","神基","10953000","1286654000","115.00","120.00","114.00","117.50","3.5000","6568"
"3006","晶豪科","8901000","883256500","98.00","100.50","96.50","99.90","1.9000","5515"
"3008","大立光","2105000","5509015000","2520.00","2670.00","2510.00","2610.00","90.0000","1891"
"3010","華立","1326000","177925500","136.00","136.00","132.50","133.00","-1.5000","990"
"3011","今皓","546000","16453550","30.40","30.40","29.95","30.15","-0.2500","188"
"3013","晟銘電","23297000","2213769600","96.20","96.90","93.60","94.50","-0.6000","13623"
"3014","聯陽","1666000","297251500","178.00","180.00","176.50","177.00","0.5000","1263"
"3015","全漢","2318000","157216300","67.60","68.20","67.20","67.20","0.2000","1444"
"3016","嘉晶","1933000","129691400","67.80","68.00","66.30","66.80","-1.0000","1389"
"3017","奇鋐","13446000","9880469000","750.00","756.00","719.00","723.00","-16.0000","10984"
"3018","隆銘綠能","8000","120600","15.05","15.10","15.05","15.10","-0.1500","7"
"3019","亞光","3598000","260081000","71.50","73.20","71.20","71.60","0.4000","2315"
"3021","鴻名","94000","2229950","23.70","23.90","23.50","23.80","0.0000","62"
"3022","威強電","531000","43786200","82.10","83.00","81.70","82.60","0.5000","417"
"3023","信邦","542000","159358500","290.00","296.00","288.50","295.00","3.5000","396"
"3024","憶聲","3274000","68831150","21.30","21.35","20.80","20.85","-0.4500","1217"
"3025","星通","602000","41020900","67.60","68.50","67.60","68.40","1.2000","411"
"3026","禾伸堂","386000","38205100","99.10","99.20","98.70","99.10","0.0000","169"
"3027","盛達","1720000","70311350","40.20","41.65","39.50","40.80","0.8500","1129"
"3028","增你強","195000","6972050","35.85","35.85","35.60","35.80","0.1000","126"
"3029","零壹","3817000","325076200","85.00","87.20","83.10","83.10","-1.9000","2599"
"3030","德律","3359000","592679000","177.00","182.50","172.00","172.50","-4.5000","2556"
"3031","佰鴻","253000","5417150","21.15","21.60","21.15","21.35","0.0500","151"
"3032","偉訓","456000","32700700","71.80","72.00","71.20","71.80","0.0000","341"
"3033","威健","4095000","155303100","38.60","38.60","37.65","37.65","-0.5000","2131"
"3034","聯詠","2784000","1723490000","615.00","622.00","614.00","622.00","8.0000","2120"
"3035","智原","17841000","5824752500","317.00","333.00","315.00","326.00","9.5000","13024"
"3036","文曄","3075000","350515500","114.50","115.00","113.00","114.50","0.0000","1831"
"3036A","文曄甲特","33000","1562400","47.35","47.40","47.30","47.30","-0.0500","22"
"3037","欣興","5027000","923682500","183.50","185.00","182.00","184.00","1.5000","2886"
"3038","全台","341000","10886900","31.95","32.10","31.75","31.95","0.1000","191"
"3040","遠見","346000","12881850","37.95","38.10","36.80","37.10","-1.4000","271"
"3041","揚智","6015000","141288350","22.20","24.10","22.20","24.10","2.1500","2622"
"3042","晶技","2465000","293192500","119.00","120.00","117.50","119.00","0.5000","1529"
"3043","科風","77000","2392200","30.65","31.25","30.65","31.10","0.4500","56"
"3044","健鼎","1713000","365526000","214.00","214.50","212.00","213.00","0.5000","1124"
"3045","台灣大","4143000","444297500","106.50","107.50","106.50","107.50","0.0000","2197"
"3046","建碁","196000","12509700","63.90","64.30","63.30","64.10","0.5000","145"
"3047","訊舟","12898000","327954350","25.70","25.80","25.20","25.20","-0.5000","5369"
"3048","益登","23728000","886809800","37.45","38.70","35.70","37.90","0.4000","13667"
"3049","精金","3143000","26950280","8.40","8.62","8.40","8.60","0.2200","986"
"3050","鈺德","2806000","59354700","21.00","21.30","20.85","21.05","0.0500","517"
"3051","力特","684000","22819950","33.50","33.80","33.15","33.35","0.0500","372"
"3052","夆典","632000","8330850","13.15","13.25","13.15","13.15","-0.0500","264"
"3054","立萬利","52000","1037050","19.85","20.05","19.85","20.05","0.0000","28"
"3055","蔚華科","1751000","155171000","88.40","90.30","87.60","88.20","0.1000","1315"
"3056","富華新","1996000","69234300","35.00","35.20","34.30","34.50","-0.1500","784"
"3057","喬鼎","440000","6333050","13.85","14.70","13.85","14.50","0.6500","235"
"3058","立德","5505000","119085100","20.85","22.20","20.40","21.70","0.7500","2150"
"3059","華晶科","4214000","169930650","40.65","40.80","39.85","40.20","-0.2000","2417"
"3060","銘異","4386000","144432800","32.20","33.80","31.80","33.00","0.7500","2622"
"3062","建漢","18403000","488908900","26.00","27.50","25.55","26.50","0.7500","8166"
"3090","日電貿","1020000","70543700","69.30","69.60","68.80","68.80","0.1000","681"
"3092","鴻碩","81000","2599150","32.10","32.30","32.00","32.05","0.0500","70"
"3094","聯傑","400000","12665000","31.35","32.05","31.25","31.75","0.4000","252"
"3130","一零四","16000","3755500","234.50","236.00","234.00","234.50","0.0000","16"
"3138","耀登","151000","19955500","133.50","133.50","131.50","132.00","2.0000","125"
"3149","正達","5287000","151404400","27.60","29.25","27.55","28.95","2.2000","2781"
"3164","景岳","151000","3619900","23.80","24.15","23.80","23.90","0.0000","82"
"3167","大量","208000","11944400","57.60","58.20","56.80","57.70","0.1000","161"
"3168","眾福科","33000","2094000","63.60","63.70","63.30","63.30","0.0000","32"
"3189","景碩","1139000","105135400","92.60","92.70","91.90","92.00","-0.6000","948"
"3209","全科","741000","26658100","35.85","36.10","35.75","36.10","0.3500","317"
"3229","晟鈦","396000","9925250","25.40","25.40","24.80","24.90","0.5500","244"
"3231","緯創","26406000","2820233000","108.50","108.50","106.00","106.50","-2.0000","11955"
"3257","虹冠電","162000","9925300","60.80","61.60","60.80","61.30","0.8000","139"
"3266","昇陽","495000","12651550","25.60","25.80","25.25","25.60","0.0000","261"
"3296","勝德","5888000","166158350","26.70","28.95","26.70","27.10","0.7500","2702"
"3305","昇貿","1584000","119790200","76.80","76.80","74.90","75.00","-1.4000","1166"
"3308","聯德","278000","7753300","27.40","28.20","27.35","28.05","0.8000","170"
"3311","閎暉","177000","6970550","39.30","39.75","39.25","39.25","-0.2000","77"
"3312","弘憶股","6894000","504938900","71.00","75.20","71.00","73.50","2.9000","4067"
"3321","同泰","519000","10643850","20.30","20.80","20.25","20.35","0.1000","311"
"3338","泰碩","2419000","206409800","86.10","86.70","84.40","84.50","-1.5000","1614"
"3346","麗清","746000","32074300","42.95","43.20","42.85","42.95","0.2500","446"
"3356","奇偶","1529000","103584600","68.50","68.50","67.10","67.70","-1.0000","1055"
"3376","新日興","10636000","2755116500","262.00","265.50","253.50","257.50","-8.5000","7381"
"3380","明泰","1420000","49398450","34.85","35.10","34.40","34.75","0.3500","883"
"3406","玉晶光","4913000","3118395000","630.00","651.00","624.00","628.00","-2.0000","3877"
"3413","京鼎","543000","166872500","308.00","310.00","305.50","306.50","-1.5000","440"
"3416","融程電","841000","128948500","156.50","158.00","150.00","150.00","-7.0000","598"
"3419","譁裕","761000","13730100","18.00","18.45","17.65","18.25","0.5000","406"
"3432","台端","583000","16558550","28.00","28.90","27.75","28.90","0.0500","363"
"3437","榮創","6368000","185533450","29.20","30.20","28.50","28.50","-0.7000","3419"
"3443","創意","1095000","1705140000","1565.00","1580.00","1540.00","1540.00","-25.0000","986"
"3447","展達","70000","2254250","31.75","33.20","31.75","32.45","0.6000","54"
"3450","聯鈞","17080000","1641836900","94.00","99.00","93.80","94.80","0.4000","10440"
"3454","晶睿","162000","22899000","142.00","143.00","140.50","140.50","-1.0000","138"
"3481","群創","196984000","2788162250","13.95","14.35","13.90","14.20","0.6000","32566"
"3494","誠研","183000","1247230","6.60","6.90","6.60","6.85","-0.1300","58"
"3501","維熹","927000","71133300","75.00","77.60","74.50","76.50","2.5000","687"
"3504","揚明光","396000","23638900","58.80","60.10","58.70","59.50","0.7000","293"
"3515","華擎","1289000","314268500","245.00","248.00","241.00","242.00","2.0000","1085"
"3518","柏騰","376000","11769050","31.15","31.70","30.80","31.50","0.3500","184"
"3528","安馳","46000","2259600","49.70","49.70","48.90","49.25","-0.4500","34"
"3530","晶相光","658000","71237500","106.00","110.00","105.50","108.50","3.0000","487"
"3532","台勝科","629000","108092000","171.50","173.00","171.00","171.00","0.0000","456"
"3533","嘉澤","534000","919600000","1710.00","1740.00","1700.00","1730.00","-20.0000","510"
"3535","晶彩科","7769000","253957800","31.55","33.65","31.35","33.00","1.5500","3929"
"3543","州巧","79000","1816400","23.00","23.10","22.95","22.95","-0.0500","41"
"3545","敦泰","3928000","354782400","90.60","91.90","89.10","89.20","-1.4000","2612"
"3550","聯穎","130000","1995500","15.30","15.45","15.30","15.45","0.1500","67"
"3557","嘉威","378000","27535400","72.40","73.30","72.40","72.70","0.2000","167"
"3563","牧德","579000","235606500","407.50","414.50","399.00","405.50","0.0000","496"
"3576","聯合再生","2832000","33375700","11.70","11.90","11.65","11.75","0.1500","1089"
"3583","辛耘","5548000","1947483500","344.50","360.50","340.00","340.50","-4.0000","4523"
"3588","通嘉","801000","70727200","88.60","89.50","87.10","87.10","0.4000","644"
"3591","艾笛森","6552000","204993700","31.00","32.40","30.20","31.00","0.1000","3757"
"3592","瑞鼎","266000","113601500","432.50","432.50","425.00","425.50","-1.5000","237"
"3593","力銘","434000","5983800","13.95","14.25","13.40","13.90","0.0000","248"
"3596","智易","1525000","250679500","162.50","165.50","161.50","164.50","2.0000","1121"
"3605","宏致","502000","24107850","48.55","48.55","47.70","47.90","-0.6000","367"
"3607","谷崧","369000","6492050","17.75","17.80","17.40","17.70","0.1000","178"
"3617","碩天","1307000","369946500","287.00","290.00","278.00","278.50","-7.0000","1123"
"3622","洋華","19755000","1625329600","80.00","84.10","80.00","84.10","7.6000","10987"
"3645","達邁","468000","19706400","42.25","42.50","41.80","42.15","-0.1000","252"
"3652","精聯","737000","25832450","35.50","35.90","34.55","35.00","0.1000","447"
"3653","健策","561000","601300000","1090.00","1090.00","1055.00","1065.00","-15.0000","452"
"3661","世芯-KY","2101000","5749470000","2685.00","2780.00","2685.00","2745.00","85.0000","1963"
"3665","貿聯-KY","9756000","3313918500","330.00","352.00","322.00","351.00","27.5000","7296"
"3669","圓展","225000","11831300","51.00","53.40","51.00","52.80","1.3000","153"
"3673","TPK-KY","1253000","46818600","37.10","37.65","37.05","37.35","0.2500","719"
"3679","新至陞","160000","21125000","132.50","133.00","131.50","132.00","-0.5000","134"
"3686","達能","529000","10111450","19.35","19.35","18.90","19.15","0.0000","232"
"3694","海華","808000","41742300","50.80","52.20","50.80","51.50","0.7000","596"
